Effective.date,S.P.500,Narcissus.Core.Equity.Sustainability.Fund..NAV.in...,Pietro.Advisory.Sustainable.Large.Cap.ETF..NAV.in...,Dow.Jones.U.S..Large.Cap.Total.Stock.Market.Index,S.P.500.Energy..Sector.,S.P.500.Utilities..Sector.,Effective.date,S.P.500.Communication.Services..Sector.,S.P.500.Consumer.Discretionary..Sector.,S.P.500.Consumer.Staples..Sector.,S.P.500.Financials..Sector.,S.P.500.Health.Care..Sector.,S.P.500.Industrials..Sector.,S.P.500.Information.Technology..Sector.,S.P.500.Materials..Sector.,S.P.500.Real.Estate..Sector.
2/1/2019,2510.03,52.91,77.84,5882.63,432.85,263.86,2/1/2019,140.52,788.75,519.68,398.82,987.65,544.6,1089.04,318.05,187.97
1/2/2019,2706.53,55.36,83.97,6363.51,479.44,276.84,1/2/2019,152.23,846.16,546.48,432.1,1050.21,604.94,1170.2,335.49,211.56
1/3/2019,2803.69,56.77,87.01,6596.11,488.65,288.07,1/3/2019,155.2,874.97,558.61,441.64,1073.74,640.88,1249.02,343.5,214.47
1/4/2019,2867.19,59.26,88.96,6738.27,496.14,293.05,1/4/2019,159.97,911.77,578.9,437.53,1064.24,645.46,1317.4,352.48,223.73
1/5/2019,2923.73,56.87,90.7,6869.26,478.74,294.58,1/5/2019,166.37,941.37,586.68,460.97,1030.29,653.03,1378.01,353.23,223.16
3/6/2019,2744.45,60.95,85.34,6449.31,438.01,296.99,3/6/2019,153.13,868.21,577.48,433.6,1010.07,609.09,1236.49,340.58,226.07
1/7/2019,2964.33,62.38,92.05,6964.74,471.74,302.09,1/7/2019,165.46,953.84,600.1,464.14,1078.6,653.25,1392.41,369.66,227.26
1/8/2019,2953.56,62.61,91.81,6942.38,451.93,304.94,1/8/2019,168.35,941.7,608.27,458.55,1055.1,642.57,1409.78,363.47,232.28
3/9/2019,2906.27,63.09,90.48,6821.78,419.76,321.51,3/9/2019,164.87,936.98,624.42,440.72,1040.16,627.22,1375.65,351.16,245.61
1/10/2019,2940.25,63.57,91.53,6896.53,427.07,327.49,1/10/2019,165.56,939.96,627.61,455.86,1033.33,639.2,1401.34,356.28,241.12
1/11/2019,3066.91,61.65,95.34,7193.67,437.36,325.17,1/11/2019,173.25,956.17,627.3,482.76,1097.41,675.93,1485.07,370.03,242.52
2/12/2019,3113.87,63.07,96.79,7311.18,431.49,315.9,2/12/2019,176.69,953.48,635.73,495.74,1143.63,677.64,1521.44,371.7,234.26
2/1/2020,3257.85,63.42,101.11,7639.15,460.34,323.82,2/1/2020,184.03,999.01,641.67,516.21,1190.45,700.05,1639.12,381.07,237.14
3/2/2020,3248.92,58.78,101.17,7641.74,400.02,351.22,3/2/2020,185.16,997.96,648.19,500.06,1164.64,683.84,1695.99,369.72,243.94
2/3/2020,3090.23,52.98,96.19,7261.78,353.68,332.25,2/3/2020,177.39,947.78,627.84,462.16,1127.57,635.4,1637.61,344.38,239.21
1/4/2020,2470.5,58.63,77.11,5770.61,213.04,264.53,1/4/2020,144.44,761.66,550.08,325.37,993.02,476.24,1347.68,270.22,180.87
1/5/2020,2830.71,61.58,88.2,6632.36,272.27,283.6,1/5/2020,167.99,911.72,590.51,365.79,1137.89,526.21,1561.7,319.47,203.79
1/6/2020,3055.73,63.2,95.36,7199.68,296.5,305.28,1/6/2020,182.34,1011.44,609.54,392.01,1186.09,571.28,1718.87,350.29,218.78
1/7/2020,3115.86,67.8,97.29,7352.86,280.3,293.53,1/7/2020,183.9,1069.88,601.63,381.5,1176.09,578.19,1842.03,355.52,221.96
3/8/2020,3294.61,72.31,102.97,7788.09,272.81,305.6,3/8/2020,191.64,1139.53,640.4,399.83,1241.39,608.31,1990.72,377.34,221.52
1/9/2020,3526.65,71.3,110.11,8352.45,264.05,296.06,1/9/2020,211.21,1267.62,672.24,416.43,1247.56,662.5,2212.54,406.58,224.23
1/10/2020,3380.8,69.81,105.88,8030.58,220.36,304.95,1/10/2020,198.17,1226.01,662.44,401.18,1225.24,648.74,2074.28,394.46,222.34
